filename: frame000230_rgb.pngbbox1	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5730310956117408	area_occluded_relative_to_gtbox: 0.5730310956117408	high_attention_area_occluded_slc: 0.2176692821854112	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.02947845804988662	high_attention_area_occluded_slc: 0.26390434961863535	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.20331890331890334	high_attention_area_occluded_slc: 0.22144918573490002	quadrants: ['4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.05619459905174191	high_attention_area_occluded_slc: 0.33198309626881056	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.2300350443207586	high_attention_area_occluded_slc: 0.11251288394145537	quadrants: ['1', '3']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.08567305710162854	high_attention_area_occluded_slc: 0.3110904968047825	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.25951350237064524	high_attention_area_occluded_slc: 0.1943001443001443	quadrants: []
filename: frame000253_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4350856413994169	area_occluded_relative_to_gtbox: 0.4350856413994169	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000480_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.4625	area_occluded_relative_to_gtbox: 0.4625	high_attention_area_occluded_slc: 0.08053571428571428	quadrants: []
filename: frame000341_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.33502924541982887	area_occluded_relative_to_gtbox: 0.2970947938318751	high_attention_area_occluded_slc: 0.15056557258181466	quadrants: ['4']
filename: frame000341_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.33502924541982887	area_occluded_relative_to_gtbox: 0.03793445158795379	high_attention_area_occluded_slc: 0.5521462754386813	quadrants: ['1', '2', '3', '4']
filename: frame000341_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.33502924541982887	area_occluded_relative_to_gtbox: 0.33502924541982887	high_attention_area_occluded_slc: 0.02722724416300092	quadrants: []
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.014572460859092733	high_attention_area_occluded_slc: 0.21103974307507026	quadrants: ['2', '4']
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.06808510638297872	high_attention_area_occluded_slc: 0.10580757393282483	quadrants: ['1', '4']
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: big1 small2	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.08265756724207146	high_attention_area_occluded_slc: 0.2082563896694768	quadrants: ['4']
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.04130871136089924	high_attention_area_occluded_slc: 0.06097952629466078	quadrants: ['1', '2']
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0 small2	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.055881172219991976	high_attention_area_occluded_slc: 0.09369731031714171	quadrants: ['2']
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.10939381774387796	high_attention_area_occluded_slc: 0.03020206075204068	quadrants: ['1']
filename: frame000338_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0 big1 small2	high_attention_area_without_occlussion_slc: 0.1239662786029707	area_occluded_relative_to_gtbox: 0.1239662786029707	high_attention_area_occluded_slc: 0.10125786163522013	quadrants: []
filename: frame000518_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3861399671951886	area_occluded_relative_to_gtbox: 0.3861399671951886	high_attention_area_occluded_slc: 0.04723892837616184	quadrants: []
filename: frame000049_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3800712951960618	area_occluded_relative_to_gtbox: 0.3800712951960618	high_attention_area_occluded_slc: 0.3506195892038703	quadrants: []
filename: frame000132_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.831684188827046	area_occluded_relative_to_gtbox: 0.831684188827046	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000210_rgb.pngbbox1	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.49845417954850374	area_occluded_relative_to_gtbox: 0.49845417954850374	high_attention_area_occluded_slc: 0.2517937350522079	quadrants: []
filename: frame000088_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.31617933723196884	area_occluded_relative_to_gtbox: 0.31617933723196884	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000062_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.33233716475095787	area_occluded_relative_to_gtbox: 0.33233716475095787	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000154_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5803312629399586	area_occluded_relative_to_gtbox: 0.5803312629399586	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000514_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.25810952696728556	area_occluded_relative_to_gtbox: 0.23162577365163572	high_attention_area_occluded_slc: 0.1940760389036251	quadrants: ['2', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.25810952696728556	area_occluded_relative_to_gtbox: 0.026483753315649866	high_attention_area_occluded_slc: 0.21855658709106984	quadrants: ['1', '2', '3', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.25810952696728556	area_occluded_relative_to_gtbox: 0.2581095269672856	high_attention_area_occluded_slc: 0.05809294871794872	quadrants: []
filename: frame000263_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.2998684525233198	area_occluded_relative_to_gtbox: 0.2689348640676074	high_attention_area_occluded_slc: 0.019213904169656383	quadrants: ['3', '4']
filename: frame000263_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.2998684525233198	area_occluded_relative_to_gtbox: 0.03093358845571235	high_attention_area_occluded_slc: 0.5466794227856174	quadrants: ['1', '2', '3', '4']
filename: frame000263_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.2998684525233198	area_occluded_relative_to_gtbox: 0.2998684525233198	high_attention_area_occluded_slc: 0.023539025751415133	quadrants: []
filename: frame000045_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.43093487394957986	area_occluded_relative_to_gtbox: 0.43093487394957986	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.25180182658450706	high_attention_area_occluded_slc: 0.045375770246478875	quadrants: ['3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.014689700704225352	high_attention_area_occluded_slc: 0.337340448943662	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.26649152728873243	high_attention_area_occluded_slc: 0.045224471830985914	quadrants: ['3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.055897887323943664	high_attention_area_occluded_slc: 0.2914007482394366	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.30769971390845074	high_attention_area_occluded_slc: 0	quadrants: ['3']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.07058758802816902	high_attention_area_occluded_slc: 0.3054164832746479	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.32238941461267606	area_occluded_relative_to_gtbox: 0.32238941461267606	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000234_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5792970656831372	area_occluded_relative_to_gtbox: 0.5792970656831372	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000175_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.27127531340405014	area_occluded_relative_to_gtbox: 0.27127531340405014	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.05281986531986532	high_attention_area_occluded_slc: 0.19762105178771847	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.10592031425364759	high_attention_area_occluded_slc: 0.1357924482924483	quadrants: ['1', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: big2 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.1587401795735129	high_attention_area_occluded_slc: 0.06558641975308642	quadrants: ['1', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.03323913740580407	high_attention_area_occluded_slc: 0.20849366682700016	quadrants: ['1', '2', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.0860590027256694	high_attention_area_occluded_slc: 0.1645021645021645	quadrants: ['2', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.13915945165945165	high_attention_area_occluded_slc: 0.09625020041686708	quadrants: ['1', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1 big2 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.19197931697931697	high_attention_area_occluded_slc: 0.05778018278018278	quadrants: ['4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.05354136604136604	high_attention_area_occluded_slc: 0.10997875581208914	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.10636123136123136	high_attention_area_occluded_slc: 0.06790123456790123	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.15946168029501362	high_attention_area_occluded_slc: 0.04673721340388007	quadrants: ['1', '3']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 big2 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.21228154561487894	high_attention_area_occluded_slc: 0.0496031746031746	quadrants: ['1', '3']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.08678050344717012	high_attention_area_occluded_slc: 0.030814093314093315	quadrants: ['1', '2', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.13960036876703544	high_attention_area_occluded_slc: 0.04416185666185666	quadrants: ['2', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.1927008177008177	high_attention_area_occluded_slc: 0.08387445887445888	quadrants: ['1']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1 big2 small3	high_attention_area_without_occlussion_slc: 0.24552068302068303	area_occluded_relative_to_gtbox: 0.24552068302068303	high_attention_area_occluded_slc: 0.008848404681738016	quadrants: []
filename: frame000505_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.41904761904761906	area_occluded_relative_to_gtbox: 0.41904761904761906	high_attention_area_occluded_slc: 0.1016036655211913	quadrants: []
filename: frame000504_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.3331078675685297	area_occluded_relative_to_gtbox: 0.3132431470274119	high_attention_area_occluded_slc: 0.09567461730153079	quadrants: ['4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.3331078675685297	area_occluded_relative_to_gtbox: 0.019864720541117837	high_attention_area_occluded_slc: 0.40299038803844783	quadrants: ['1', '2', '3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.3331078675685297	area_occluded_relative_to_gtbox: 0.3331078675685297	high_attention_area_occluded_slc: 0.13766464934140263	quadrants: []
filename: frame000237_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.35279984309110524	area_occluded_relative_to_gtbox: 0.35279984309110524	high_attention_area_occluded_slc: 0.3014121800529568	quadrants: []
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.009070294784580499	high_attention_area_occluded_slc: 0.38507524221809936	quadrants: ['1', '2', '3', '4']
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.022057307771593485	high_attention_area_occluded_slc: 0.32318078746650175	quadrants: ['1', '2', '3', '4']
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.031127602556173986	high_attention_area_occluded_slc: 0.3472995258709544	quadrants: ['1', '2', '3', '4']
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.28277674706246136	high_attention_area_occluded_slc: 0	quadrants: ['1', '2']
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small2	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.29184704184704185	high_attention_area_occluded_slc: 0	quadrants: ['1']
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.30483405483405485	high_attention_area_occluded_slc: 0	quadrants: ['1', '2']
filename: frame000194_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small1 small2	high_attention_area_without_occlussion_slc: 0.31390434961863534	area_occluded_relative_to_gtbox: 0.31390434961863534	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000258_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5731905433713822	area_occluded_relative_to_gtbox: 0.5731905433713822	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000473_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.20775316455696202	area_occluded_relative_to_gtbox: 0.1732397151898734	high_attention_area_occluded_slc: 0	quadrants: ['3']
filename: frame000473_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.20775316455696202	area_occluded_relative_to_gtbox: 0.034513449367088604	high_attention_area_occluded_slc: 0.2058148734177215	quadrants: ['1', '2', '3', '4']
filename: frame000473_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.20775316455696202	area_occluded_relative_to_gtbox: 0.20775316455696202	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000261_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5855932910547397	area_occluded_relative_to_gtbox: 0.5855932910547397	high_attention_area_occluded_slc: 0.07182493324432576	quadrants: []
filename: frame000066_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.39763007840342124	area_occluded_relative_to_gtbox: 0.39763007840342124	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000500_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.19447331947331947	area_occluded_relative_to_gtbox: 0.10496794871794872	high_attention_area_occluded_slc: 0.09123787248787249	quadrants: ['1', '2', '3', '4']
filename: frame000500_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.19447331947331947	area_occluded_relative_to_gtbox: 0.08950537075537075	high_attention_area_occluded_slc: 0.2285386347886348	quadrants: ['1', '3']
filename: frame000500_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.19447331947331947	area_occluded_relative_to_gtbox: 0.19447331947331947	high_attention_area_occluded_slc: 0.10249913374913375	quadrants: []
filename: frame000201_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6361746361746362	area_occluded_relative_to_gtbox: 0.6361746361746362	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000089_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.30603448275862066	area_occluded_relative_to_gtbox: 0.30603448275862066	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000319_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4912272967730559	area_occluded_relative_to_gtbox: 0.4912272967730559	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000439_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.1413076629813191	area_occluded_relative_to_gtbox: 0.0785932138772398	high_attention_area_occluded_slc: 0.016584064048799085	quadrants: ['1', '2']
filename: frame000439_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.1413076629813191	area_occluded_relative_to_gtbox: 0.06271444910407929	high_attention_area_occluded_slc: 0.06446816622188334	quadrants: ['1', '3']
filename: frame000439_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.1413076629813191	area_occluded_relative_to_gtbox: 0.14130766298131908	high_attention_area_occluded_slc: 0.018776210446054136	quadrants: []
filename: frame000199_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5107042253521127	area_occluded_relative_to_gtbox: 0.5107042253521127	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000330_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5222192114889581	area_occluded_relative_to_gtbox: 0.5222192114889581	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000327_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.368304369591647	area_occluded_relative_to_gtbox: 0.368304369591647	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000205_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5181818181818182	area_occluded_relative_to_gtbox: 0.5181818181818182	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000119_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7562757587111277	area_occluded_relative_to_gtbox: 0.7562757587111277	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000116_rgb.pngbbox1	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5619248466257669	area_occluded_relative_to_gtbox: 0.5619248466257669	high_attention_area_occluded_slc: 0.14148773006134968	quadrants: []
filename: frame000478_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3617789482626795	area_occluded_relative_to_gtbox: 0.3617789482626795	high_attention_area_occluded_slc: 0.06278141194460964	quadrants: []
filename: frame000344_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.32376436413345294	area_occluded_relative_to_gtbox: 0.2688389081122645	high_attention_area_occluded_slc: 0.24350677090008116	quadrants: ['4']
filename: frame000344_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.32376436413345294	area_occluded_relative_to_gtbox: 0.05492545602118843	high_attention_area_occluded_slc: 0.4624076210004699	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.32376436413345294	area_occluded_relative_to_gtbox: 0.32376436413345294	high_attention_area_occluded_slc: 0.05306719637746166	quadrants: []
